"country","suicide_rate","freedom_score","freedom_rank","happiness_rank","happiness_score","fifa_rank","total_points","cur_year_avg","cur_year_avg_weighted"
"Mali","8.9","5.930464736","134","135","4.073","60","569.25","324.5","324.5"
"Angola","8.9","5.640662182","142","141","3.866","143","198.64","40.68","40.68"
"Ghana","8.7","7.236088908","57","124","4.276","53","611.1","223.98","223.98"
"Portugal","8.6","8.276856122","22","94","5.123","8","1229.12","617.85","617.85"
"Myanmar","8.1","5.441680434","149","119","4.395","159","148.23","50.19","50.19"
"Romania","8","8.171616249","24","71","5.528","39","689.55","191.18","191.18"
"China","8","5.905410169","135","83","5.245","82","426.52","222.7","222.7"
"Montenegro","7.9","7.335052066","52","88","5.161","63","549.38","368.56","368.56"
"Bulgaria","7.9","7.782769538","41","129","4.217","71","491.98","259.88","259.88"
"Singapore","7.9","8.159711817","25","22","6.739","165","134.58","37.66","37.66"
"Malawi","7.8","6.652606805","97","132","4.156","103","329.76","163.63","163.63"
"Costa Rica","7.5","7.857714484","37","14","7.087","17","1040.55","631.38","631.38"
"Mauritania","7.5","5.473874888","147","130","4.201","108","316.8","162.47","162.47"
"Mauritius","7.3","7.863732816","37","66","5.648","145","191.48","132.78","132.78"
"Turkey","7.2","6.466232654","107","78","5.389","24","850.58","363.41","363.41"
"Ecuador","7.2","6.80527768","83","51","5.976","20","890.45","402.61","402.61"
"Colombia","7","6.760756637","87","31","6.481","6","1344.7","746.52","746.52"
"Vietnam","7","6.1940038","124","96","5.061","134","217.75","112.48","112.48"
"Madagascar","6.9","6.512561755","103","148","3.695","133","219.73","76.5","76.5"
"Georgia","6.7","7.798267753","40","126","4.252","118","280.94","155.55","155.55"
"Malta","6.5","8.353998731","19","30","6.488","183","85.13","16.46","16.46"
"Bosnia and Herzegovina","6.4","7.230723572","59","87","5.163","27","825.47","367.05","367.05"
"Malaysia","6.2","6.411489977","110","47","6.005","161","143.4","78.99","78.99"
"Macedonia","6.2","7.271829012","56","95","5.121","162","142.19","24.87","24.87"
"Spain","6.1","8.159106882","25","37","6.361","10","1165.66","507.92","507.92"
