Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
Honduras,6.723241298,92.0,3.4,104.0,4.871,75.0,467.42
Hungary,7.739472887000001,42.0,13.6,91.0,5.145,26.0,826.32
Iceland,8.151753108,27.0,13.3,3.0,7.501,21.0,889.28
India,6.412935667999999,110.0,16.5,118.0,4.404,135.0,216.95
Indonesia,6.77065623,85.0,3.7,79.0,5.314,171.0,119.77
Iran,5.281224623,153.0,4.0,105.0,4.813,29.0,814.49
Iraq,4.25801381,159.0,4.1,112.0,4.575,119.0,277.57
Ireland,8.504564702,8.0,10.9,19.0,6.907,23.0,857.64
Israel,7.517458071,49.0,5.2,11.0,7.267,55.0,594.72
Italy,7.980223158999999,34.0,5.5,50.0,5.977,16.0,1082.6
Jamaica,7.224208046,60.0,2.0,73.0,5.51,77.0,463.27
Japan,8.101885275,31.0,14.3,53.0,5.921,45.0,644.3
Jordan,6.849333258,75.0,3.7,80.0,5.303,105.0,323.93
Kazakhstan,6.742837772000001,90.0,22.8,54.0,5.919,98.0,354.28
Kenya,6.822768345,82.0,5.6,122.0,4.356,89.0,394.51
Kuwait,6.190287237000001,124.0,2.2,41.0,6.239,171.0,119.77
Kyrgyzstan,6.588506477,99.0,9.1,85.0,5.185,122.0,265.27
Laos,6.386793085,113.0,9.3,102.0,4.876,167.0,133.94
Latvia,8.245534042000001,23.0,17.2,68.0,5.56,111.0,303.61
Lebanon,6.70999709,95.0,3.2,93.0,5.129,147.0,185.54
Liberia,6.481700872,106.0,13.4,150.0,3.622,101.0,338.19
Libya,4.310282812,158.0,5.5,67.0,5.615,85.0,417.45
Lithuania,8.340669463,20.0,25.7,60.0,5.813,105.0,323.87
Luxembourg,8.428700911,15.0,10.4,20.0,6.871,130.0,229.91
Madagascar,6.512561755,103.0,6.9,148.0,3.695,133.0,219.73
Malawi,6.652606805,97.0,7.8,132.0,4.1560000000000015,103.0,329.76
Malaysia,6.4114899770000005,110.0,6.2,47.0,6.005,161.0,143.4
Mali,5.930464736,134.0,8.9,135.0,4.073,60.0,569.25
Malta,8.353998731,19.0,6.5,30.0,6.488,183.0,85.13
Mauritania,5.473874887999999,147.0,7.5,130.0,4.2010000000000005,108.0,316.8
Mauritius,7.8637328160000015,37.0,7.3,66.0,5.648,145.0,191.48
Mexico,6.848010198,75.0,5.2,21.0,6.778,18.0,1012.0
Mongolia,7.699156277,45.0,13.3,101.0,4.907,198.0,38.3
Montenegro,7.335052066,52.0,7.9,88.0,5.1610000000000005,63.0,549.38
Morocco,6.178378256,127.0,3.1,90.0,5.151,57.0,586.71
Myanmar,5.4416804339999985,149.0,8.1,119.0,4.395,159.0,148.23
Namibia,6.897457751,74.0,11.5,113.0,4.574,99.0,346.85
Nepal,6.720805695,92.0,9.6,107.0,4.793,181.0,96.49
Netherlands,8.55442118,6.0,9.6,7.0,7.338999999999999,22.0,887.14
New Zealand,8.887409579,1.0,11.6,8.0,7.334,109.0,310.82
