,Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
89,Peru,7.575393347,47.0,5.1,64,5.7429999999999986,19,965.37
90,Philippines,6.9187633470000005,73.0,3.7,82,5.279,120,272.68
91,Poland,7.811560227,39.0,13.4,57,5.835,15,1086.72
92,Portugal,8.276856122,22.0,8.6,94,5.122999999999998,8,1229.12
93,Qatar,6.507776487999999,103.0,5.8,36,6.375,87,411.0
94,Romania,8.171616249,24.0,8.0,71,5.528,39,689.55
95,Rwanda,6.9738695260000005,71.0,11.0,152,3.515,92,373.15
96,Saudi Arabia,5.479366035,146.0,3.4,34,6.379,54,605.09
97,Senegal,6.497093885,105.0,11.8,128,4.2189999999999985,33,754.74
98,Serbia,7.348971626,51.0,10.9,86,5.1770000000000005,44,646.93
99,Sierra Leone,6.3973295760000015,112.0,16.1,111,4.635,96,355.23
100,Singapore,8.159711817,25.0,7.9,22,6.739,165,134.58
101,Slovenia,7.936395732999999,35.0,13.3,63,5.768,51,615.53
102,South Africa,7.172571807000001,63.0,12.8,116,4.459,60,569.12
103,Spain,8.159106882,25.0,6.1,37,6.3610000000000015,10,1165.66
104,Sri Lanka,6.265360917000001,119.0,14.2,117,4.415,195,44.14
105,Sudan,4.803023585,157.0,9.5,133,4.1389999999999985,135,216.71
106,Suriname,7.074281523,67.0,23.2,40,6.269,150,182.5
107,Sweden,8.387375149,17.0,11.7,10,7.291,41,675.35
108,Switzerland,8.78775905,2.0,11.3,2,7.508999999999999,11,1128.75
109,Tajikistan,6.18616229,124.0,3.3,100,4.996,129,231.14
110,Thailand,6.6247813010000005,98.0,12.9,33,6.474,126,253.82
111,Togo,6.274969005,119.0,16.6,155,3.303,91,385.32
112,Trinidad and Tobago,6.8252231939999985,81.0,12.9,43,6.167999999999998,78,451.5
113,Tunisia,6.433736122000001,109.0,3.2,98,5.045,35,737.54
114,Turkey,6.466232654,107.0,7.2,78,5.3889999999999985,24,850.58
115,Uganda,6.769444547000001,85.0,20.0,145,3.739,72,490.48
116,Ukraine,6.283135204,118.0,18.5,123,4.324,30,803.65
117,United Arab Emirates,6.286675088,117.0,2.7,28,6.573,64,541.92
118,Uruguay,7.728070903,43.0,16.5,29,6.545,9,1187.31
119,Zambia,6.308849427999999,116.0,11.3,106,4.795,88,400.56
120,Zimbabwe,5.6153627870000005,143.0,19.1,131,4.1930000000000005,102,334.3
